judul,rating,genre,poster_url,musim_tayang,jenis_tayangan,sinopsis,studio,fitur
Jashin-chan Dropkick X,7.42,"Comedy, Supernatural, Gag Humor, Mythology",https://cdn.myanimelist.net/images/anime/1530/124920.jpg,Summer 2022,TV,"Ever since she was summoned from Hell by the witch Yurine Hanazono, Jashin-chan—a half-human, half-snake demon—has been searching for any way to go back. One of her options is to kill the one who summoned her, which is much easier said than done. Jashin-chan often finds herself getting violently beaten by Yurine after not only any failed murder attempt, but also when she is just causing mischief, destroying any hope of going back home to Hell.

The demon is also terrible with money and tends to gamble all of it away at pachinko. In one of these gambling sessions, she loses the three million yen she received from Hell Financing, putting her into a lifelong debt. To avoid repaying it altogether, Jashin-chan flees to Hokkaido to try and hide for the rest of her days, but her wish of having her debts forgotten may just be a pipe dream when someone comes knocking for the money.

[Written by MAL Rewrite]",Nomad,ever sinc summon hell witch yurin hanazono jashin chan half human half snake demon search way go back one option kill one summon much easier said done jashin chan often find get violent beaten yurin fail murder attempt also caus mischief destroy hope go back home hell demon also terribl money tend gambl away pachinko one gambl session lose three million yen receiv hell financ put lifelong debt avoid repay altogeth jashin chan flee hokkaido tri hide rest day wish debt forgotten may pipe dream someon come knock money written mal rewrit comedi supernatur gag humor mytholog nomad tv
Utawarerumono: Futari no Hakuoro,7.51,"Action, Drama, Fantasy",https://cdn.myanimelist.net/images/anime/1516/123280.jpg,Summer 2022,TV,"After the events of Mask of Deception, the Yamato Empire is now ruled with an iron fist by a ruthless usurper who seeks to subjugate all before him. It's up to a couple of familiar faces to band together against the might of the Imperial army, and the fate of the world hangs in the balance as nations and generals must pick a side to fight with in this perilous civil war. Secrets will be revealed, friendships will be tested, and battles will be fought. Will peace and order be restored or will victory at any cost be the beginning of the end? 

(Source: Atlus)",White Fox,event mask decept yamato empir rule iron fist ruthless usurp seek subjug coupl familiar face band togeth might imperi armi fate world hang balanc nation gener must pick side fight peril civil war secret reveal friendship test battl fought peac order restor victori cost begin end sourc atlu action drama fantasi white fox tv
Bucchigire!,5.99,"Action, Historical, Samurai",https://cdn.myanimelist.net/images/anime/1729/141091.jpg,Summer 2022,TV,"Following a ruthless attack from an imperialist criminal gang known as the Masked Demons, Shinsengumi's Eighth Division—the law-enforcing squad in Kyoto that remains faithful to the shogunate—is nearly annihilated, with its sole survivor, Heisuke Toudou, critically injured. Urged to rebuild the Shinsengumi by the local feudal lord, Katamori Matsudaira, Toudou decides to offer eight convicts the chance to redeem themselves: they must abandon their old names and become substitutes for the eight Shinsengumi captains. All accept but one, who ends up immediately executed by the former assassin Sakuya.

However, Toudou has a hard time transforming the seven reformed criminals into loyal servants. Due to his lack of discipline, the impulsive and vengeful Ichibanboshi, whose family perished at the hands of the Masked Demons, threatens the success of Toudou's strategy. As Toudou pledges to protect the shogunate against imperialists and foreign invaders, other factions, such as Kogorou Katsura's group, start to put their plans in motion with only one goal in mind—to seize power at the dusk of the Edo period.

[Written by MAL Rewrite]",Geno Studio,follow ruthless attack imperialist crimin gang known mask demon shinsengumi eighth divis law enforc squad kyoto remain faith shogun nearli annihil sole survivor heisuk toudou critic injur urg rebuild shinsengumi local feudal lord katamori matsudaira toudou decid offer eight convict chanc redeem must abandon old name becom substitut eight shinsengumi captain accept one end immedi execut former assassin sakuya howev toudou hard time transform seven reform crimin loyal servant due lack disciplin impuls veng ichibanboshi whose famili perish hand mask demon threaten success toudou strategi toudou pledg protect shogun imperialist foreign invad faction kogor katsura group start put plan motion one goal mind seiz power dusk edo period written mal rewrit action histor samurai geno studio tv
Prima Doll,7.08,"Sci-Fi, Slice of Life",https://cdn.myanimelist.net/images/anime/1553/124311.jpg,Summer 2022,TV,"Black Cat Cafe is located in the fifth ward of the Imperial Capital. Having lost their purpose after the war ended a few years prior, advanced mechanical dolls known as Automata have been restored and now work at the cafe wearing elegant kimonos. While they adjust to the peaceful world, events of the past continue to haunt the Automata, preventing them from letting go of the responsibility they once held.

Among the Automata working at Black Cat Cafe is the recently restored Haizakura, who has lost her memories during a reset. Her identity and role in this unfamiliar world are a mystery to her, but one thing is certain—she loves to sing. With never-ending curiosity and beautiful songs to guide them, Haizakura and the Automata search for their new purpose together, supporting each other no matter how rigorous that endeavor might be.

[Written by MAL Rewrite]",Bibury Animation Studios,black cat cafe locat fifth ward imperi capit lost purpos war end year prior advanc mechan doll known automata restor work cafe wear eleg kimono adjust peac world event past continu haunt automata prevent let go respons held among automata work black cat cafe recent restor haizakura lost memori reset ident role unfamiliar world mysteri one thing certain love sing never end curios beauti song guid haizakura automata search new purpos togeth support matter rigor endeavor might written mal rewrit sci fi slice life biburi anim studio tv
Love Live! Superstar!! 2nd Season,7.67,"Slice of Life, Idols (Female), Music, School",https://cdn.myanimelist.net/images/anime/1238/124173.jpg,Summer 2022,TV,"As another year begins at Yuigaoka Girls' High School, ushering in a fresh batch of students, the school idol club Liella! is excited to expand their membership. However, Liella! is extremely popular due to the astounding talent they have continuously displayed; thus, new students lack the courage to even consider approaching the club, fearing the rigorous training that might lie ahead.

Amid her worries, club leader and co-founder Kanon Shibuya meets first-year student Kinako Sakurakouji and tells her about the world of school idols. This leaves Kinako in awe, but being fairly average herself, she feels she would not be capable of matching the spirited performances of the brilliant Liella! members. Nonetheless, Kinako receives encouragement to join the group and comes to share their dream of reaching for the stars once again in the grand Love Live! Competition.

[Written by MAL Rewrite]",Sunrise,anoth year begin yuigaoka girl high school usher fresh batch student school idol club liella excit expand membership howev liella extrem popular due astound talent continu display thu new student lack courag even consid approach club fear rigor train might lie ahead amid worri club leader co founder kanon shibuya meet first year student kinako sakurakouji tell world school idol leav kinako awe fairli averag feel would capabl match spirit perform brilliant liella member nonetheless kinako receiv encourag join group come share dream reach star grand love live competit written mal rewrit slice life idol femal music school sunris tv
Warau Arsnotoria Sun!,5.81,"Action, Fantasy",https://cdn.myanimelist.net/images/anime/1823/124696.jpg,Summer 2022,TV,"In the magical academic city of Ashram, girls known as Pentagrams study general education, magic, and etiquette to become proper ladies. Hidden from the rest of the world, the school is like a secret garden that is home to blossoming flowers. However, bugs sensitive to magic may target and trample them; as one of their tasks, the girls must exterminate these insects.

The smileless Pentagram Arsnotoria lives in the fifth dorm house alongside her adored roommates: the cheerful Mell, the self-paced Little Alberta, the confident Picatrix, and the cool Abramelin. No matter what time of day, they hang out together as much as possible, and even throw tea parties in their secret room after completing their duties. The girls live in peace as they work toward their goal—but there may be more to Ashram and the Pentagrams beyond the calm life they have come to cherish.

[Written by MAL Rewrite]",LIDENFILMS,magic academ citi ashram girl known pentagram studi gener educ magic etiquett becom proper ladi hidden rest world school like secret garden home blossom flower howev bug sensit magic may target trampl one task girl must extermin insect smileless pentagram arsnotoria live fifth dorm hous alongsid ador roommat cheer mell self pace littl alberta confid picatrix cool abramelin matter time day hang togeth much possibl even throw tea parti secret room complet duti girl live peac work toward goal may ashram pentagram beyond calm life come cherish written mal rewrit action fantasi lidenfilm tv
Shine Post,7.47,"Drama, Idols (Female), Music",https://cdn.myanimelist.net/images/anime/1976/123710.jpg,Summer 2022,TV,"Haru Nabatame, Rio Seibu, and Kyouka Tamaki's idol unit, TiNgS, is on the verge of disbandment. However, if they can fill all two thousand seats in their upcoming anniversary concert, their idol careers will live to see another day. This quota is seemingly impossible for a group like them, especially when the most people they have had at a show is 37. Fortunately, they are placed under a new talented manager—Naoki Hinase.

While initially reluctant due to past experiences, Naoki takes charge of TiNgS after sensing Haru's genuine passion for idols with his own remarkable ability to see the shine of someone who is lying. Despite the challenges she faces in this ambitious endeavor, Haru wants everyone in the world to love idols, even willing to become the shining guidepost—shine post—to accomplish her dream.

[Written by MAL Rewrite]",Studio KAI,haru nabatam rio seibu kyouka tamaki idol unit ting verg disband howev fill two thousand seat upcom anniversari concert idol career live see anoth day quota seemingli imposs group like especi peopl show 37 fortun place new talent manag naoki hinas initi reluct due past experi naoki take charg ting sens haru genuin passion idol remark abil see shine someon lie despit challeng face ambiti endeavor haru want everyon world love idol even will becom shine guidepost shine post accomplish dream written mal rewrit drama idol femal music studio kai tv
Kami Kuzu☆Idol,6.74,"Comedy, Supernatural, Idols (Female), Idols (Male), Music",https://cdn.myanimelist.net/images/anime/1083/124088.jpg,Summer 2022,TV,"Kazuki Yoshino and Yuuya Niyodo are idols who make up the duo ZINGS. While Kazuki gives his all in every performance, Yuuya views the job as just another means of making money. Yuuya's apathetic attitude toward the fans and inability to take his job seriously causes his manager to give him an ultimatum: unless he starts putting in more effort, he will be fired.

Backstage, Yuuya meets Asahi Mogami, an idol dressed in a colorful costume. Asahi would have had a bright future ahead of her—had she not died a year prior. Even as a ghost, Asahi wants nothing more than to perform for fans again. When she finds out that Yuuya does not hold the same passion for the idol life that she once did, she is overcome by a fit of rage and demands that he let her take his place. In a strange twist, Yuuya wakes up to find that Asahi has possessed him and can do what he is too lazy to do himself.

With Asahi performing for him, Yuuya thinks he has a ticket to an easy idol life. However, Asahi has other plans. Though she is no longer alive, she wishes for Yuuya to find the ambition that she still has. Together, she wants them to become the best idol the world has ever seen. But can an unmotivated man like Yuuya ever care about anything besides money?

[Written by MAL Rewrite]",Studio Gokumi,kazuki yoshino yuuya niyodo idol make duo zing kazuki give everi perform yuuya view job anoth mean make money yuuya apathet attitud toward fan inabl take job serious caus manag give ultimatum unless start put effort fire backstag yuuya meet asahi mogami idol dress color costum asahi would bright futur ahead die year prior even ghost asahi want noth perform fan find yuuya hold passion idol life overcom fit rage demand let take place strang twist yuuya wake find asahi possess lazi asahi perform yuuya think ticket easi idol life howev asahi plan though longer aliv wish yuuya find ambit still togeth want becom best idol world ever seen unmotiv man like yuuya ever care anyth besid money written mal rewrit comedi supernatur idol femal idol male music studio gokumi tv
Renmei Kuugun Koukuu Mahou Ongakutai Luminous Witches,6.69,"Sci-Fi, Idols (Female), Military, Music",https://cdn.myanimelist.net/images/anime/1085/125306.jpg,Summer 2022,TV,"As the united world fights for its freedom against the alien forces known as the Neuroi, human girls with magical abilities—called witches—continue to battle. With the persisting conflict affecting morale, Grace Maitland Steward, a retired witch who still serves in the army, presents a plan advocating the power of music as an invaluable support that can change the tides of war.

Unfortunately, her proposal is written off, prompting Grace to find a way to prove the potential of her idea to her superiors. She enlists the help of Aila Paivikki Linnamaa and Eleonore Giovanna Gassion—two witches who have already seen some success as singers—to recruit other witches and form the League of Nations Air Force's Music Squadron.

The campaign manages to produce seven promising candidates. Among them, 14-year-old Virginia Robertson, despite having no military experience whatsoever, seems to possess an ability too significant to ignore.

[Written by MAL Rewrite]",Shaft,unit world fight freedom alien forc known neuroi human girl magic abil call witch continu battl persist conflict affect moral grace maitland steward retir witch still serv armi present plan advoc power music invalu support chang tide war unfortun propos written prompt grace find way prove potenti idea superior enlist help aila paivikki linnamaa eleonor giovanna gassion two witch alreadi seen success singer recruit witch form leagu nation air forc music squadron campaign manag produc seven promis candid among 14 year old virginia robertson despit militari experi whatsoev seem possess abil signific ignor written mal rewrit sci fi idol femal militari music shaft tv
Teppen!!!!!!!!!!!!!!!,6.61,Comedy,https://cdn.myanimelist.net/images/anime/1327/124393.jpg,Summer 2022,TV,"The Teppen Grand Prix is a competition established out of an appreciation for stand-up comedy. As devoted fans of such performances, Yayoi Sakamoto and her two friends—Yomogi Takahashi and Yuzu Hosono—form the stand-up trio Young Wai-Wai. After qualifying for the final round in the prix, the three go up against other comedic trios, but only one group can emerge victorious.

With participants housed in a famous dorm where many comedians before them have lodged, the contestants' time living at the establishment will give them a chance to prove they have what it takes to make their audience laugh until they cry!

[Written by MAL Rewrite]",Drive,teppen grand prix competit establish appreci stand comedi devot fan perform yayoi sakamoto two friend yomogi takahashi yuzu hosono form stand trio young wai wai qualifi final round prix three go comed trio one group emerg victori particip hous famou dorm mani comedian lodg contest time live establish give chanc prove take make audienc laugh cri written mal rewrit comedi drive tv
Yuurei Deco,6.02,Sci-Fi,https://cdn.myanimelist.net/images/anime/1349/124349.jpg,Summer 2022,TV,"In the cyber city Tom Sawyer, society revolves around earning ""Love,"" akin to receiving likes on social media. Citizens of this augmented reality exchange Love for public services and appearance-changing avatars via the Decoration Customizer, also known as ""Deco,"" a hologram device implanted in an individual's eyes from early childhood. Under the government's careful management, the people of Tom Sawyer live a peaceful existence, outside the occasional appearance of Phantom Zero, a mysterious criminal who brings all Love to zero within their vicinity.

Berry, a mischievous girl fascinated by Phantom Zero, lives comfortably in the system of Tom Sawyer until her Deco malfunctions, enabling her to see a camouflaged prankster named Hack. Believing Hack to be Phantom Zero, Berry chases after the suspect and, in the process, begins to uncover society's most well-kept secrets. As it turns out, Hack is not the only person living outside the system's rules—and the vibrant colors of Tom Sawyer hide a darker nature.

[Written by MAL Rewrite]",Science SARU,cyber citi tom sawyer societi revolv around earn love akin receiv like social media citizen augment realiti exchang love public servic appear chang avatar via decor custom also known deco hologram devic implant individu eye earli childhood govern care manag peopl tom sawyer live peac exist outsid occasion appear phantom zero mysteri crimin bring love zero within vicin berri mischiev girl fascin phantom zero live comfort system tom sawyer deco malfunct enabl see camouflag prankster name hack believ hack phantom zero berri chase suspect process begin uncov societi well kept secret turn hack person live outsid system rule vibrant color tom sawyer hide darker natur written mal rewrit sci fi scienc saru tv
Shoot! Goal to the Future,5.29,Sports,https://cdn.myanimelist.net/images/anime/1587/124120.jpg,Summer 2022,TV,"Atsushi Kamiya is a former captain at Kakegawa High School and the world-renowned ""courageous captain"" for a famous Italian soccer team. Hideto Tsuji is a student at the same school, who seems uninterested in the now-weakened soccer team. Their meeting is the start of a new legend... 

(Source: Official Site, edited)","Magic Bus, EMT Squared",atsushi kamiya former captain kakegawa high school world renown courag captain famou italian soccer team hideto tsuji student school seem uninterest weaken soccer team meet start new legend sourc offici site edit sport magic bu emt squar tv
Shin Tennis no Oujisama: U-17 World Cup,6.79,Sports,https://cdn.myanimelist.net/images/anime/1580/125307.jpg,Summer 2022,TV,"With the arrival of the U-17 World Cup, youth tennis teams from all around the world gather in Melbourne, Australia to determine which  is the best. With nine-time champion Germany vying to defend their title once more, and powerhouse nations—Switzerland, France, and the United States—determined to make things interesting, the road to victory is perilous. Although Japan is sitting at the bottom of the rankings, the addition of the nation's strongest middle school players has reinvigorated their chances at winning.

Captained by the ruthless Houou Byoudouin, Japan is ready to show the world what they are capable of. However, before the real competition starts, the teams will have a chance to prove their strength through exhibition matches. As luck would have it, Japan is slated to face off against defending champion Germany—a match they are likely to lose. To make matters worse, old allies have suddenly reappeared as sworn enemies. Before Team Japan crumbles under the pressure of the international stage, they must rise from the ashes and claim the title for themselves.

[Written by MAL Rewrite]","M.S.C, Studio KAI",arriv u 17 world cup youth tenni team around world gather melbourn australia determin best nine time champion germani vy defend titl powerhous nation switzerland franc unit state determin make thing interest road victori peril although japan sit bottom rank addit nation strongest middl school player reinvigor chanc win captain ruthless houou byoudouin japan readi show world capabl howev real competit start team chanc prove strength exhibit match luck would japan slate face defend champion germani match like lose make matter wors old alli suddenli reappear sworn enemi team japan crumbl pressur intern stage must rise ash claim titl written mal rewrit sport c studio kai tv
Yoru wa Neko to Issho,7.19,Comedy,https://cdn.myanimelist.net/images/anime/1969/124909.jpg,Summer 2022,TV,"Fuuta-kun has never owned a cat before, but his younger sister, Pii-chan, moves into his house with the round gray cat Kyuruga. Inexperienced with cats, Fuuta-kun has no idea what to expect, and each night after he returns home is marked by odd and endearing surprises from his new pet.

[Written by MAL Rewrite]",Studio PuYUKAI,fuuta kun never own cat younger sister pii chan move hous round gray cat kyuruga inexperienc cat fuuta kun idea expect night return home mark odd endear surpris new pet written mal rewrit comedi studio puyukai tv
Extreme Hearts,6.51,"Sci-Fi, Sports, Idols (Female), Music, Team Sports",https://cdn.myanimelist.net/images/anime/1413/121836.jpg,Summer 2022,TV,"Hiyori Hayama is an aspiring singer who moved to Tokyo to make her debut. She has always loved singing and hopes to stand on stage like her favorite artist. Unfortunately, the entertainment industry is not all fun and games, as she fails her auditions one after another and struggles to sell her songs.

Finding herself still standing at the start line, Hiyori pursues her only opportunity to take the next step forward—partaking in Extreme Hearts. The popular event is a Hyper Sports tournament where participants compete in various sports using ability-enhancing gear for a chance to make their big break. Despite being athletic, however, Hiyori's lack of familiarity with Hyper Sports poses a problem for her. Fortunately, she befriends girls experienced in different sports, and they join the tournament alongside Hiyori, hoping to see her rise to the top.

Now playing under Team RISE, Hiyori and her teammates learn about the unspoken rule of Extreme Hearts—all competitors must be entertainers or aspire to be one. For the members of Team RISE, facing the competition head-on is an inspiring endeavor that paves the way to discovering newfound interests and everlasting friendships.

[Written by MAL Rewrite]",Seven Arcs,hiyori hayama aspir singer move tokyo make debut alway love sing hope stand stage like favorit artist unfortun entertain industri fun game fail audit one anoth struggl sell song find still stand start line hiyori pursu opportun take next step forward partak extrem heart popular event hyper sport tournament particip compet variou sport use abil enhanc gear chanc make big break despit athlet howev hiyori lack familiar hyper sport pose problem fortun befriend girl experienc differ sport join tournament alongsid hiyori hope see rise top play team rise hiyori teammat learn unspoken rule extrem heart competitor must entertain aspir one member team rise face competit head inspir endeavor pave way discov newfound interest everlast friendship written mal rewrit sci fi sport idol femal music team sport seven arc tv
Musashino!,4.65,"Comedy, CGDCT, School",https://cdn.myanimelist.net/images/anime/1541/126462.jpg,Summer 2022,TV,Sequel series to Urawa no Usagi-chan.,A-Real,sequel seri urawa usagi chan comedi cgdct school real tv
KJ File,4.62,"Action, Sci-Fi",https://cdn.myanimelist.net/images/anime/1010/123667.jpg,Summer 2022,TV,"The story is set in a world where unique kaijuus suddenly begin to appear in various places around the world. Members of the United Nations Monster Observatory will explore a world where kaijuus with great powers and humankind live together.

(Source: MAL News)","ILCA, yell",stori set world uniqu kaijuu suddenli begin appear variou place around world member unit nation monster observatori explor world kaijuu great power humankind live togeth sourc mal news action sci fi ilca yell tv
Cardfight!! Vanguard: will+Dress,6.84,Action,https://cdn.myanimelist.net/images/anime/1299/126131.jpg,Summer 2022,TV,"Four months after the battle at Nagoya Castle, Yu-yu and friends received an invitation to a tournament.
That ""Deluxe"" tournament aims to determine the strongest fighter, bringing together both ""Front Fighters"" who are active in official tournaments, and hidden powerhouse ""Counter Fighters"" like ""Blackout"" that compete against each other for flags.
The existing characters from overDress will be competing with new characters from will+Dress such as Raika, Michiru, and Urara, to become the strongest of them all!

(Source: Official Site)","Kinema Citrus, Gift-o’-Animation, Studio Jemi",four month battl nagoya castl yu yu friend receiv invit tournament delux tournament aim determin strongest fighter bring togeth front fighter activ offici tournament hidden powerhous counter fighter like blackout compet flag exist charact overdress compet new charact dress raika michiru urara becom strongest sourc offici site action kinema citru gift anim studio jemi tv
Hanabi-chan wa Okuregachi,6.13,Comedy,https://cdn.myanimelist.net/images/anime/1006/126132.jpg,Summer 2022,TV,"Recent college graduate Musashi Shinonome is visiting the Shitamachi God Heaven pachinko hall after inheriting it from his late grandfather. Inside, he stumbles upon a girl sleeping in a futon, who wakes up upon his arrival. She introduces herself as Hanabi Hana Ariake: a self-proclaimed perfected pachislot machine that has turned into a human. To prove this, she demonstrates her ability to transform and shoot fireworks out of her body.

Over the following days, Musashi meets two of Ariake's human pachislot machine sisters—the energetic Versus Ikusa Takanawa and the loving Thunder Rai Nihonbashi. Now, Musashi and the dynamic trio must work together to make the grand reopening of Shitamachi God Heaven a success.

[Written by MAL Rewrite]",Gaina,recent colleg graduat musashi shinonom visit shitamachi god heaven pachinko hall inherit late grandfath insid stumbl upon girl sleep futon wake upon arriv introduc hanabi hana ariak self proclaim perfect pachislot machin turn human prove demonstr abil transform shoot firework bodi follow day musashi meet two ariak human pachislot machin sister energet versu ikusa takanawa love thunder rai nihonbashi musashi dynam trio must work togeth make grand reopen shitamachi god heaven success written mal rewrit comedi gaina tv
Nanashi Kaidan,5.44,Horror,https://cdn.myanimelist.net/images/anime/1770/128061.jpg,Summer 2022,TV,"The collection of horror short stories center on those uneasy feelings of ""something out there"" that children sense in their lives.

(Source: ANN)",add some,collect horror short stori center uneasi feel someth children sens live sourc ann horror add tv
Chimimo,6.9,"Comedy, Supernatural",https://cdn.myanimelist.net/images/anime/1528/125308.jpg,Summer 2022,TV,"In her house, Mei Onigami discovers a strange round creature that only says ""chimi."" Her sisters, Mutsumi and Hazuki, agree to let the being stay with them until its owner comes to claim it. However, as soon as one of them utters the word ""hell,"" more creatures show up until there are 12 in total. The sisters think nothing of this until the critters create a portal that summons an envoy from Hell.

Jabberwock the Eighth, a horned and fanged man covered in fur, has come to unleash a living hell on earth under orders from his boss. However, when living in the human realm proves to be challenging, the Onigami sisters allow him to stay with them. They also take in his ""Chimimoryo spirits""—the round demons that preceded his arrival. Called Jigoku-san by the Onigami sisters, this messenger from Hell has a lot of work cut out for him if he wants to take over the world. But before that, he will have to survive the everyday hells of human life.

[Written by MAL Rewrite]",Shin-Ei Animation,hous mei onigami discov strang round creatur say chimi sister mutsumi hazuki agre let stay owner come claim howev soon one utter word hell creatur show 12 total sister think noth critter creat portal summon envoy hell jabberwock eighth horn fang man cover fur come unleash live hell earth order boss howev live human realm prove challeng onigami sister allow stay also take chimimoryo spirit round demon preced arriv call jigoku san onigami sister messeng hell lot work cut want take world surviv everyday hell human life written mal rewrit comedi supernatur shin ei anim tv
5-Okunen Button,6.13,"Comedy, Sci-Fi",https://cdn.myanimelist.net/images/anime/1084/124654.jpg,Summer 2022,TV,"The story centers on a button that grants a million yen to whomever pushes it, with the condition that they must spend 500 million years alone in an empty space. However, at the end of the 500 million years, the person's loses that memory and returns to the point in time when they pushed the button. A person with this button appears in front of 5-year-old Tonio, 14-year-old Jaibi, and 17-year-old Suneko - three siblings who need money to pay for their father's hospital treatment.

(Source: Anime News Network)",Studio Sota,stori center button grant million yen whomev push condit must spend 500 million year alon empti space howev end 500 million year person lose memori return point time push button person button appear front 5 year old tonio 14 year old jaibi 17 year old suneko three sibl need money pay father hospit treatment sourc anim news network comedi sci fi studio sota tv
"Natsu e no Tunnel, Sayonara no Deguchi",7.96,"Drama, Mystery, Romance, Supernatural",https://cdn.myanimelist.net/images/anime/1462/125397.jpg,Summer 2022,Movie,"Kaoru Touno's family is falling apart. After the death of a sibling and his parents' divorce, he no longer feels any peace at home. Following a heated confrontation with his father, Kaoru runs out of his house and finds himself before a mysterious tunnel, which pulls him in. Bewildered by what he sees inside, he rushes to the exit, picking up a bird that looks identical to his deceased pet on his way out.

Upon emerging outside, Kaoru realizes that, despite him spending just a few minutes inside the tunnel, an entire week has passed. The bizarre experience leads him to remember the rumors of ""Urashima Tunnel""—a passage that grants wishes in exchange for one's lifespan. Given the resurrection of his pet bird, Kaoru cannot help but wonder if another visit can help fix his messed up life.

However, when he returns to the entrance of the mysterious tunnel, Kaoru realizes that he has been followed by Anzu Hanashiro, a new transfer student in his class. She also knows about the rumors and asks him to help her with an experiment—it turns out that she, too, has a wish that only the tunnel can grant.

[Written by MAL Rewrite]",CLAP,kaoru touno famili fall apart death sibl parent divorc longer feel peac home follow heat confront father kaoru run hous find mysteri tunnel pull bewild see insid rush exit pick bird look ident deceas pet way upon emerg outsid kaoru realiz despit spend minut insid tunnel entir week pass bizarr experi lead rememb rumor urashima tunnel passag grant wish exchang one lifespan given resurrect pet bird kaoru cannot help wonder anoth visit help fix mess life howev return entranc mysteri tunnel kaoru realiz follow anzu hanashiro new transfer student class also know rumor ask help experi turn wish tunnel grant written mal rewrit drama mysteri romanc supernatur clap movi
One Piece Film: Red,7.82,"Action, Adventure, Award Winning, Comedy, Drama, Fantasy",https://cdn.myanimelist.net/images/anime/1668/125323.jpg,Summer 2022,Movie,"As a child, Uta—the Red Hair Pirates' ex-musician and Monkey D. Luffy's childhood friend—promised that she would build a new era of freedom by performing joyful music for the world.

Luffy and the Straw Hat Crew arrive at Uta's first ever live concert, where many fans have gathered to enjoy the diva's otherworldly singing. Due to a childhood trauma, Uta bears a deep-seated hatred for pirates; her happy reunion with Luffy is cut short when she learns that he has since become one. Luffy's refusal to change his ways results in Uta unleashing her powers on the Straw Hats. The crew soon learns that their minds have already been trapped in Uta's dream world since the beginning of the concert, while their unconscious bodies remain asleep in the real world.

With time quickly running out, the Straw Hats must find a way to escape the nightmare or be trapped in Uta's dream forever.

[Written by MAL Rewrite]",Toei Animation,child uta red hair pirat ex musician monkey luffi childhood friend promis would build new era freedom perform joy music world luffi straw hat crew arriv uta first ever live concert mani fan gather enjoy diva otherworldli sing due childhood trauma uta bear deep seat hatr pirat happi reunion luffi cut short learn sinc becom one luffi refus chang way result uta unleash power straw hat crew soon learn mind alreadi trap uta dream world sinc begin concert unconsci bodi remain asleep real world time quickli run straw hat must find way escap nightmar trap uta dream forev written mal rewrit action adventur award win comedi drama fantasi toei anim movi
Yuru Camp△ Movie,8.38,"Slice of Life, Adult Cast, CGDCT, Iyashikei",https://cdn.myanimelist.net/images/anime/1806/124396.jpg,Summer 2022,Movie,"As time marches forward, Rin Shima, Nadeshiko Kagamihara, and their friends have grown into full-fledged adults. Now with careers and responsibilities, they can no longer freely spend their days camping and adventuring. However, Chiaki Oogaki, who currently works for the Yamanashi Tourism Organization, reunites the group as she comes up with an exciting proposal—to build a campground together to revitalize an abandoned patch of land from their homeplace, the Yamanashi Prefecture.

Motivated by this ambitious project, the girls combine their efforts to create an environment where future generations can enjoy unique moments as they once did, all while reminiscing the charms of camping from their high school days.

[Written by MAL Rewrite]",C-Station,time march forward rin shima nadeshiko kagamihara friend grown full fledg adult career respons longer freeli spend day camp adventur howev chiaki oogaki current work yamanashi tourism organ reunit group come excit propos build campground togeth revit abandon patch land homeplac yamanashi prefectur motiv ambiti project girl combin effort creat environ futur gener enjoy uniqu moment reminisc charm camp high school day written mal rewrit slice life adult cast cgdct iyashikei c station movi
Ame wo Tsugeru Hyouryuu Danchi,7.31,Fantasy,https://cdn.myanimelist.net/images/anime/1263/124155.jpg,Summer 2022,Movie,"Ever since the death of his grandfather, Yasuji, Kousuke Kumagaya has grown distant from his close friend, Natsume Tonai. Having grown up together like siblings in the same apartment building, the two now find themselves at odds with one another due to Natsume's inability to let go of the past. This rift is further exacerbated by the news that their former complex will soon be demolished.

Hearing about a ghost that is supposedly haunting the old complex, Kousuke's friends drag him into the demolition site to look around. When Kousuke finds that Natsume is also there, they get into an argument over an old camera that once belonged to Yasuji. This results in Natsume running off with it, but just as she is about to fall off the rooftop, a torrential downpour envelops the entire building, flooding the ground around it.

The young children now find themselves drifting at sea with the apartment building acting as their ship. Unable to communicate with the rest of the world, Natsume and Kousuke must reconcile their differences if they want to stand a chance at finding their way home.

[Written by MAL Rewrite]",Studio Colorido,ever sinc death grandfath yasuji kousuk kumagaya grown distant close friend natsum tonai grown togeth like sibl apart build two find odd one anoth due natsum inabl let go past rift exacerb news former complex soon demolish hear ghost supposedli haunt old complex kousuk friend drag demolit site look around kousuk find natsum also get argument old camera belong yasuji result natsum run fall rooftop torrenti downpour envelop entir build flood ground around young children find drift sea apart build act ship unabl commun rest world natsum kousuk must reconcil differ want stand chanc find way home written mal rewrit fantasi studio colorido movi
Bakuten!! Movie,7.72,"Sports, Performing Arts, School",https://cdn.myanimelist.net/images/anime/1579/123864.jpg,Summer 2022,Movie,"For the first time ever, the members of Shoushukan High School's Rhythmic Gymnastics Club have qualified for regionals and proceed to set their sights on the Inter-High title. Unbridled excitement permeates the air as the club members prepare and practice their routine, hoping to leave with no regrets, no matter the outcome.

Aware that this marks the final tournament for their club's third-year members, the team is more determined than ever to shine the brightest on the competition's biggest stage. However, the pressure of this grand event, on top of some personal troubles, may soon prove too much to handle.

[Written by MAL Rewrite]",Zexcs,first time ever member shoushukan high school rhythmic gymnast club qualifi region proceed set sight inter high titl unbridl excit permeat air club member prepar practic routin hope leav regret matter outcom awar mark final tournament club third year member team determin ever shine brightest competit biggest stage howev pressur grand event top person troubl may soon prove much handl written mal rewrit sport perform art school zexc movi
