judul,rating,genre,poster_url,musim_tayang,jenis_tayangan,sinopsis,studio,fitur
Sore Ike! Anpanman,6.61,"Comedy, Fantasy",https://cdn.myanimelist.net/images/anime/1902/111797.jpg,Winter 1990,TV,"One night, a Star of Life falls down the chimney of a bakery nestled deep in the forest, causing the dough in the oven to come to life. The dough becomes Anpanman, a superhero made of anpan (a sweet roll with bean jam filling). Together with his friends, Anpanman fights his rival Baikinman and helps the malnourished. 

(Source: ANN)",TMS Entertainment,one night star life fall chimney bakeri nestl deep forest caus dough oven come life dough becom anpanman superhero made anpan sweet roll bean jam fill togeth friend anpanman fight rival baikinman help malnourish sourc ann comedi fantasi tm entertain tv
Madou King Granzort,7.19,"Comedy, Fantasy, Sci-Fi",https://cdn.myanimelist.net/images/anime/7/11702.jpg,Winter 1990,TV,"In the future, the moon is a habitable place with an atmosphere and gravity, hosting a famous tourist attraction. There are also rumors about log earred, rabbit like creatures on the moon who can use magic. Haruka Daichi heads off to the moon during a summer holiday alone because he wants to see the long earred creatures himself.

However, he get himself dragged into an millenia-old conflict between two ancient moon races: the ""long ears"" race and the Jado race. The Jado race wants to conquer the universe and resurrect certain evil powers to seize control of the Earth. Now the ""long ears"" race and Daichi must seek three warriors who can use magic in order to release the Mado King and the ""long ears"" race's kingdom, Rabiluna, from the Jado's control.

(Source: AniDB, edited)",Sunrise,futur moon habit place atmospher graviti host famou tourist attract also rumor log ear rabbit like creatur moon use magic haruka daichi head moon summer holiday alon want see long ear creatur howev get drag millenia old conflict two ancient moon race long ear race jado race jado race want conquer univers resurrect certain evil power seiz control earth long ear race daichi must seek three warrior use magic order releas mado king long ear race kingdom rabiluna jado control sourc anidb edit comedi fantasi sci fi sunris tv
3 Choume no Tama: Uchi no Tama Shirimasen ka?,6.59,Adventure,https://cdn.myanimelist.net/images/anime/9/74055.jpg,Winter 1990,TV,"The characters are Tama, Momo, Wocket, Tiggle, Rockney, Pimmy, Bupkus, Bengpu, and Chopin. There is no consistent plot. Tama and his friends just have little, family friendly, adventures every episode. The only consistency is when a new friend is made one episode and flash backs.

(Source: ANN)",Group TAC,charact tama momo wocket tiggl rockney pimmi bupku bengpu chopin consist plot tama friend littl famili friendli adventur everi episod consist new friend made one episod flash back sourc ann adventur group tac tv
Akuma-kun,6.43,"Adventure, Fantasy, Horror, Supernatural",https://cdn.myanimelist.net/images/anime/1523/148322.jpg,Winter 1990,TV,"The age of the demons has begun. Dr Faust has foreseen this rise of evil. Unfortunately, he is near death and is unable to personally battle this upcoming threat. Faust entrusts a young boy, Shingo Yamada, to take the responsibility of ridding the Earth of this new evil presence. Faust finds a birthmark on Shingo's forehead that signifies that he is the chosen demon fighter. Faust summons from hell what may be humanity's only hope of surviving: a less than enthusiastic devil named Mephisto rises. After signing a pact in blood to save humankind, Shingo and Mephisto set out to battle the supernatural world.

(Source: AniDB)",Toei Animation,age demon begun dr faust foreseen rise evil unfortun near death unabl person battl upcom threat faust entrust young boy shingo yamada take respons rid earth new evil presenc faust find birthmark shingo forehead signifi chosen demon fighter faust summon hell may human hope surviv less enthusiast devil name mephisto rise sign pact blood save humankind shingo mephisto set battl supernatur world sourc anidb adventur fantasi horror supernatur toei anim tv
Time Travel Tondekeman!,7.35,"Action, Adventure, Comedy",https://cdn.myanimelist.net/images/anime/6/45656.jpg,Winter 1990,TV,"The series starts when Hayato, a soccer enthusiast, and his girlfriend Yumi, an aspiring musician, went to a visit to Dr. Leonard's lab. They accidentally activated the Tondekeman, a funny talking kettle who transported them many centuries in the past. 

In Baghdad, Hayato and Yumi gets reunited but they got separated from Tondekeman. They meet Aladdin, Prince Dandarn and Princess Shalala. They also meet the cunning Abdullah who is always ready to kidnap the princess so that he could marry the princess to his master. 

Our heroes get to go to different places and times and meet several historical and literary figures as they follow Abdullah as he escapes through time to abduct the princess. 

Hayato and Yumi are stuck in the past until they get Tondekeman from the possession of Abdullah. 

(Source: Wikipedia)",Ashi Productions,seri start hayato soccer enthusiast girlfriend yumi aspir musician went visit dr leonard lab accident activ tondekeman funni talk kettl transport mani centuri past baghdad hayato yumi get reunit got separ tondekeman meet aladdin princ dandarn princess shalala also meet cun abdullah alway readi kidnap princess could marri princess master hero get go differ place time meet sever histor literari figur follow abdullah escap time abduct princess hayato yumi stuck past get tondekeman possess abdullah sourc wikipedia action adventur comedi ashi product tv
Dash! Yonkurou,6.76,Sports,https://cdn.myanimelist.net/images/anime/11/50417.jpg,Winter 1990,TV,"The story is a succession of races in imaginative paths and runs to suit her run. The story will focus increasingly what is the real Emperor, will be discovered having this many mini title that will compare against the Emperor of Yonkuro, the epilogue to the epic challenge of the Rally of hell in this race will challenge a group of thugs who want to take advantage of Best of Mini 4WD racers to be able to recover a hidden treasure.The story centers on a brother and sister, Tatsuya and Kiyoko, the children of a scientist at the Twin X facility. This story is used by the very popular main character Yonkuro Hinomaru.

(Source: ANN)",Aubec,stori success race imagin path run suit run stori focu increasingli real emperor discov mani mini titl compar emperor yonkuro epilogu epic challeng ralli hell race challeng group thug want take advantag best mini 4wd racer abl recov hidden treasur stori center brother sister tatsuya kiyoko children scientist twin x facil stori use popular main charact yonkuro hinomaru sourc ann sport aubec tv
Aoi Blink,6.81,"Adventure, Fantasy",https://cdn.myanimelist.net/images/anime/1272/147717.jpg,Winter 1990,TV,Story of a young boy named Kakeru and his adventures together with a magical blue pony named Blink.,Tezuka Productions,stori young boy name kakeru adventur togeth magic blue poni name blink adventur fantasi tezuka product tv
Chinpui,6.39,Comedy,https://cdn.myanimelist.net/images/anime/11/74871.jpg,Winter 1990,TV,TV anime show based on the manga by F. Fujio Fujiko.,Shin-Ei Animation,tv anim show base manga f fujio fujiko comedi shin ei anim tv
Konchuu Monogatari Minashigo Hutch (1989),6.7,"Adventure, Comedy, Drama",https://cdn.myanimelist.net/images/anime/1216/134554.jpg,Winter 1990,TV,A remake of the 1970's version.,Tatsunoko Production,remak 1970 version adventur comedi drama tatsunoko product tv
Manga Nippon Mukashibanashi (1976),6.15,Fantasy,https://cdn.myanimelist.net/images/anime/6/60851.jpg,Winter 1990,TV,"An omnibus-format TV series consisting of anime adaptations of Japanese folk tales, this is one of Japan's longest-running TV series, and Group Tac's second TV series (the first was The Road to Munich, a documentary anime about the 1972 Olympics). The governing rule of the series was that the creative staff change from episode to episode. While later other anime series like Nippon Animation's Famous Works of Japanese Literature would attempt the same, none would be as long-lived or successful. 

The rotation idea was that of director Sugii Gisaburo, a visual visionary unequaled in Japanese film history who has revolutionized anime several times in his career, be it in the 1967 TV series Goku's Big Adventure, in which he sought to shake anime free from the dominance of story development by yanking it back to a more cartoonish form, or The Belladonna of Sadness, where he broke the Disney full-animation mold, creating a full-length animated film in a completely new style that was a hybrid of still drawings and animation. The reason for rotating the staff each episode was so that each episode would have a completely different look and feel from its predecessor, and in this it was eminently successful. This is a series that is genuinely rewarding to watch, and is visually one of the richest in anime history. 

While this system also meant that quality varied, there were also occasionally superb episodes, as on the staff were many veterans like Group Tac founder SUGII Gisaburo himself, SHIBAYAMA Tsutomu, FURUZAWA Hideo, RIN Taro, and HIKONE Norio. Old episodes started being repeated more and more frequently as the years went on, and production of new episodes finally ceased completely in late 1995, but the series is still widely broadcast. 

(Source: Pelleas)",Group TAC,omnibu format tv seri consist anim adapt japanes folk tale one japan longest run tv seri group tac second tv seri first road munich documentari anim 1972 olymp govern rule seri creativ staff chang episod episod later anim seri like nippon anim famou work japanes literatur would attempt none would long live success rotat idea director sugii gisaburo visual visionari unequ japanes film histori revolution anim sever time career 1967 tv seri goku big adventur sought shake anim free domin stori develop yank back cartoonish form belladonna sad broke disney full anim mold creat full length anim film complet new style hybrid still draw anim reason rotat staff episod episod would complet differ look feel predecessor emin success seri genuin reward watch visual one richest anim histori system also meant qualiti vari also occasion superb episod staff mani veteran like group tac founder sugii gisaburo shibayama tsutomu furuzawa hideo rin taro hikon norio old episod start repeat frequent year went product new episod final ceas complet late 1995 seri still wide broadcast sourc pellea fantasi group tac tv
